IID	GLCOL_Quzhou_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	0
WATDE0010	NA
WATDE0339	1
WATDE0459	0
WATDE0476	0
WATDE0526	0
WATDE0532	1
WATDE0576	0
WATDE0612	1
WATDE0061	0
WATDE0668	0
WATDE0714	1
WATDE0762	0
WATDE0801	1
WATDE0868	1
WATDE0100	0
WATDE1030	0
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	0
WATDE0002	0
WATDE0004	0
WATDE0005	0
WATDE0006	0
WATDE0007	NA
WATDE0008	0
WATDE0009	0
WATDE0011	0
WATDE0012	0
WATDE0013	0
WATDE0014	0
WATDE0015	1
WATDE0016	1
WATDE0017	1
WATDE0018	1
WATDE0019	0
WATDE0020	1
WATDE0021	1
WATDE0022	1
WATDE0023	0
WATDE0024	0
WATDE0025	1
WATDE0026	0
WATDE0027	0
WATDE0028	0
WATDE0029	NA
WATDE0030	NA
WATDE0031	0
WATDE0032	0
WATDE0033	0
WATDE0034	0
WATDE0035	NA
WATDE0036	0
WATDE0037	0
WATDE0038	NA
WATDE0040	NA
WATDE0041	0
WATDE0042	0
WATDE0043	0
WATDE0044	0
WATDE0045	0
WATDE0046	0
WATDE0047	0
WATDE0048	0
WATDE0049	0
WATDE0050	0
WATDE0051	0
WATDE0052	0
WATDE0053	0
WATDE0054	0
WATDE0055	0
WATDE0056	1
WATDE0057	0
WATDE0058	0
WATDE0059	0
WATDE0060	0
WATDE0062	0
WATDE0063	0
WATDE0064	0
WATDE0065	0
WATDE0066	0
WATDE0067	0
WATDE0068	1
WATDE0069	0
WATDE0070	0
WATDE0071	0
WATDE0072	1
WATDE0073	1
WATDE0074	1
WATDE0075	0
WATDE0076	0
WATDE0077	1
WATDE0078	1
WATDE0079	1
WATDE0080	1
WATDE0081	NA
WATDE0082	1
WATDE0083	1
WATDE0084	1
WATDE0085	1
WATDE0086	0
WATDE0087	1
WATDE0088	1
WATDE0089	0
WATDE0090	0
WATDE0091	1
WATDE0092	0
WATDE0093	1
WATDE0094	0
WATDE0095	0
WATDE0096	1
WATDE0097	0
WATDE0098	0
WATDE0099	0
WATDE0101	0
WATDE0102	1
WATDE0103	0
WATDE0104	0
WATDE0105	0
WATDE0106	1
WATDE0107	0
WATDE0108	0
WATDE0109	0
WATDE0110	1
WATDE0111	1
WATDE0112	1
WATDE0113	1
WATDE0114	1
WATDE0115	0
WATDE0116	1
WATDE0117	0
WATDE0118	0
WATDE0119	0
WATDE0120	0
WATDE0121	0
WATDE0122	0
WATDE0123	0
WATDE0124	0
WATDE0126	0
WATDE0127	0
WATDE0129	0
WATDE0131	0
WATDE0133	0
WATDE0134	0
WATDE0136	0
WATDE0138	1
WATDE0140	0
WATDE0141	0
WATDE0143	NA
WATDE0144	1
WATDE0145	0
WATDE0146	1
WATDE0148	0
WATDE0149	0
WATDE0150	0
WATDE0151	0
WATDE0152	0
WATDE0153	0
WATDE0154	0
WATDE0156	0
WATDE0157	0
WATDE0158	0
WATDE0159	0
WATDE0160	0
WATDE0162	0
WATDE0164	0
WATDE0165	0
WATDE0168	0
WATDE0169	0
WATDE0171	NA
